track_id,artist,title,language,has_audio,has_lyrics
ar_0003,Umm Kulthum,Alf Leila Wa Leila,arabic,True,False
ar_0006,Fairuz,Nassam Alayna Al Hawa,arabic,True,False
ar_0010,Abdel Halim Hafez,Khosara Khosara,arabic,True,False
ar_0011,Fairuz,Zahrat Al Madain,arabic,True,False
ar_0012,Umm Kulthum,Fakkarouni,arabic,True,False
ar_0013,Abdel Halim Hafez,Ahwak Moot,arabic,True,False
ar_0014,Fairuz,Shadi,arabic,True,False
ar_0015,Warda,Eyyam,arabic,True,False
ar_0018,Amr Diab,Habibi Ya Nour El Ain,arabic,True,False
ar_0021,Elissa,Ajmal Ihsas,arabic,True,False
ar_0024,Tamer Hosny,Habibi Wenta,arabic,False,False
ar_0026,Sherine,Masha3er,arabic,True,False
ar_0027,Mohamed Hamaki,Ahla Haga Fiki,arabic,True,False
ar_0028,Mohamed Hamaki,We Aftakart,arabic,True,False
ar_0030,Amr Diab,We Malo,arabic,True,False
ar_0031,Nancy Ajram,Moegaba,arabic,True,False
ar_0032,Elissa,Battal Aa Aali,arabic,True,False
ar_0035,Maya Diab,Hayda Haki,arabic,True,False
ar_0036,Ragheb Alama,Nassini El Dounia,arabic,True,False
ar_0038,Assi El Helani,Yana Ya Mghayer,arabic,False,False
ar_0039,Najwa Karam,Ma Fi Nom,arabic,True,False
ar_0040,Carole Samaha,Khalleek Hena,arabic,False,False
ar_0045,Omar Kamal,Ya Lili,arabic,True,False
ar_0048,Abyusif,Bos Omak,arabic,True,False
ar_0051,Sherine,Masha3er,arabic,True,False
ar_0052,Tamer Ashour,Enta Leh,arabic,True,False
ar_0054,Asala,Bent Akabir,arabic,True,False
ar_0055,Angham,Sidi Wasalak,arabic,True,False
ar_0056,Nawal El Kuwaitia,Matefakker,arabic,False,False
ar_0057,Majid Al Mohandis,Waheshni Moot,arabic,True,False
ar_0058,Abdallah Al Rowaished,Khalas,arabic,True,False
ar_0059,Rashed Al Majed,Wainek Habibi,arabic,True,False
ar_0060,Ahlam,Hatha Ana,arabic,True,False
ar_0061,Mohamed Abdo,Alwan,arabic,True,False
ar_0062,Aseel Hameem,La Yeswa,arabic,True,False
ar_0064,Kadim Al Sahir,Ana Wa Layla,arabic,True,False
ar_0065,Kadim Al Sahir,La Titnahad,arabic,True,False
ar_0066,Fairuz,Bhebbak Ya Lebnan,arabic,True,False
ar_0067,Marcel Khalife,Umi,arabic,True,False
ar_0068,Sabah Fakhri,Ya Mal El Sham,arabic,True,False
ar_0069,Lotfi Bouchnak,Mawal Ataba,arabic,True,False
ar_0074,Faudel,Tellement N'brick,arabic,False,False
ar_0075,Souad Massi,Raoui,arabic,True,False
ar_0077,Angham,Bahibbik Wahashteeni,arabic,True,False
ar_0078,Nawal El Zoghbi,Yama Alou,arabic,True,False
ar_0082,Maya Nasri,Shou Helou,arabic,True,False
ar_0084,Amr Diab,Kol El Kalam,arabic,True,False
ar_0086,Tamer Hosny,Nari Nari,arabic,True,False
ar_0088,Mohamed Mounir,Matloob Zaeem,arabic,True,False
ar_0089,Amr Diab,Maak,arabic,True,False
ar_0092,Wael Jassar,Besmellah,arabic,True,False
ar_0095,Fares Karam,Retani,arabic,True,False
ar_0096,Fares Karam,Shefta Yaba,arabic,True,False
ar_0100,Cairokee,Ya Elrabe3,arabic,True,False
bn_0001,Rabindranath Tagore,Ekla Chalo Re,bangla,True,False
bn_0003,Rabindranath Tagore,Purano Sei Diner Katha,bangla,True,False
bn_0004,Rabindranath Tagore,Jodi Tor Dak Shune Keu Na Ashe,bangla,True,False
bn_0005,Rabindranath Tagore,Ami Chini Go Chini Tomare,bangla,True,False
bn_0006,Rabindranath Tagore,Aguner Poroshmoni,bangla,True,False
bn_0007,Rabindranath Tagore,Akash Bhora Surjo Tara,bangla,True,False
bn_0008,Rabindranath Tagore,Bhalobese Sokhi,bangla,True,False
bn_0009,Rabindranath Tagore,Jedin Esechhilem Pothopane,bangla,True,False
bn_0010,Rabindranath Tagore,Kon Alo Laglo Chokhe,bangla,True,False
bn_0011,Rabindranath Tagore,Mone Ki Didha,bangla,True,False
bn_0012,Rabindranath Tagore,Nil Digante,bangla,True,False
bn_0013,Rabindranath Tagore,O Amar Desher Mati,bangla,True,False
bn_0014,Rabindranath Tagore,Pagla Hawar Badol Dine,bangla,True,False
bn_0015,Rabindranath Tagore,Prothom Dekha,bangla,True,False
bn_0016,Rabindranath Tagore,Tomar Khola Hawa,bangla,True,False
