model,task,silhouette_mean,silhouette_std,ari_mean,ari_std,nmi_mean,nmi_std,v_measure_mean,v_measure_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std
Basic VAE,genre,0.0452,0.0288,0.0168,0.0035,0.0524,0.0145,0.0524,0.0145,9.4256,0.6911,3.8184,0.9744
Basic VAE,language,0.0259,0.0036,-0.0035,0.0021,0.0171,0.0032,0.0171,0.0032,7.0926,0.7967,4.3517,0.7442
Beta-VAE,genre,0.0066,0.0004,-0.001,0.0025,0.0126,0.0022,0.0126,0.0022,2.5166,0.0136,6.6729,0.0232
Beta-VAE,language,0.0002,0.0121,0.0005,0.0034,0.0199,0.0069,0.0199,0.0069,2.3931,0.0316,5.7743,0.218
CVAE-Genre,genre,0.0179,0.0014,-0.0028,0.0059,0.0089,0.0064,0.0089,0.0064,4.8306,0.2832,5.4825,0.1576
CVAE-Genre,language,0.0165,0.0045,-0.0021,0.0024,0.0204,0.0037,0.0204,0.0037,3.8026,0.0525,5.1404,0.5272
CVAE-Language,genre,0.012,0.0076,0.0373,0.0323,0.0552,0.0243,0.0552,0.0243,3.3887,1.6324,4.5002,2.2434
CVAE-Language,language,0.0073,0.0049,0.0026,0.0039,0.0297,0.0106,0.0297,0.0106,2.902,1.2182,4.2255,2.2276
Conv VAE,genre,0.0096,0.0118,0.0083,0.0081,0.0255,0.0114,0.0255,0.0114,3.1653,1.5531,4.9424,1.4884
Conv VAE,language,0.01,0.0032,0.0114,0.0083,0.0347,0.0013,0.0347,0.0013,3.188,0.3346,4.9194,0.9637
Multimodal VAE,genre,0.0109,0.0042,0.0086,0.0137,0.0203,0.0173,0.0203,0.0173,2.651,0.2294,6.4774,0.4818
Multimodal VAE,language,0.0091,0.0028,-0.0,0.0063,0.0248,0.0077,0.0248,0.0077,2.5148,0.0921,5.803,0.5283
PCA,genre,0.0282,0.0071,0.0191,0.0122,0.0294,0.0149,0.0294,0.0149,6.3107,4.0646,5.4889,2.2931
PCA,language,0.0191,0.0232,-0.0009,0.0039,0.0169,0.0034,0.0169,0.0034,5.6017,3.3015,4.9513,1.7939
Raw Features,genre,0.037,0.0049,0.0174,0.0257,0.0284,0.0277,0.0284,0.0277,8.1405,0.8743,4.0672,0.2045
Raw Features,language,0.036,0.0084,-0.0011,0.0012,0.0168,0.0019,0.0168,0.0019,6.9114,0.4663,3.7865,0.4641
VaDE,genre,-0.0027,0.0318,0.0014,0.0115,0.011,0.0109,0.011,0.0109,3.1913,1.5933,6.2514,1.4534
VaDE,language,-0.0039,0.0296,-0.0046,0.0067,0.0128,0.0056,0.0128,0.0056,2.8736,1.1835,5.4763,0.8544
